trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.95, 'e': 7.124486146436688e-05}",20,8,20.42425478940358,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.95, 'e': 7.00572017051923e-05}",30,11,23.39087087303451,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.95, 'e': 6.889899407468652e-05}",30,19,12.302396233369121,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.95, 'e': 6.776927273404965e-05}",25,14,23.598969966812728,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.95, 'e': 6.66671111140741e-05}",20,8,21.158205518374768,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.95, 'e': 6.559162001462694e-05}",25,11,25.347757937215146,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.95, 'e': 6.45419458105823e-05}",20,1,27.810973527526272,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.95, 'e': 6.351726875744343e-05}",20,13,12.946370166472619,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.95, 'e': 6.251680139037365e-05}",20,12,14.596535335020167,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.95, 'e': 6.153978701079716e-05}",35,23,25.881048406086208,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.95, 'e': 6.058549825513765e-05}",25,14,19.299474420033604,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.95, 'e': 5.965323574063966e-05}",35,7,41.712296579645965,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.95, 'e': 5.8742326783563894e-05}",20,9,-2.9690840292280516,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.95, 'e': 5.785212418536977e-05}",25,6,32.27482341769688,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.95, 'e': 5.6982005082794846e-05}",25,5,31.725894775965674,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.95, 'e': 5.61313698580157e-05}",20,0,24.898912258755754,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.95, 'e': 5.529964110532923e-05}",35,5,44.06107876165324,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.95, 'e': 5.4486262651029106e-05}",20,0,22.510436171010188,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.95, 'e': 5.369069862337049e-05}",25,13,13.033435485527367,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.95, 'e': 5.291243256971874e-05}",30,14,24.438241319276276,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
